model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
UKESM1-0-LL,1986,7,31,historical,4.331531376,1.5453459936,2.3706781056,2.796046
UKESM1-0-LL,1986,8,31,historical,4.2751960704,1.639424016,2.2704071040000002,2.7238905
UKESM1-0-LL,1986,9,30,historical,3.60720864,1.319265792,1.6833063168,2.6777606
UKESM1-0-LL,1986,10,31,historical,2.1417750432,0.9402315840000001,0.8751690144,2.593428
UKESM1-0-LL,1986,11,30,historical,1.2798501552,0.8170867872,0.5496912288,2.4387321
UKESM1-0-LL,1986,12,31,historical,0.61079172768,1.054539648,0.31059356256000004,2.2930639
UKESM1-0-LL,1987,1,31,historical,0.18412108704000002,1.1774299104000001,0.08682108768,2.1330814
UKESM1-0-LL,1987,2,28,historical,0.40278173184,1.2012489216,0.1413754128,2.0126357
UKESM1-0-LL,1987,3,31,historical,1.7001581184,1.4553461375999999,0.5969572127999999,1.9826722
UKESM1-0-LL,1987,4,30,historical,5.32919952,2.6798736383999997,1.8774624096,2.3377554
UKESM1-0-LL,1987,5,31,historical,8.935137216,4.004952768,3.6247279679999997,2.7553177
UKESM1-0-LL,1987,6,30,historical,7.8587604864,2.6073267552000003,3.704376672,2.8793757
UKESM1-0-LL,1987,7,31,historical,6.211060128,1.7855226144,3.0496766976000003,2.8593912
UKESM1-0-LL,1987,8,31,historical,2.7732202848000003,1.7933057856,1.6696301472000001,2.7157934
UKESM1-0-LL,1987,9,30,historical,2.6246217888,1.2541133664000002,1.1646796896,2.5910149
UKESM1-0-LL,1987,10,31,historical,2.3377945248,1.2360562848,1.0823555232,2.5218987
UKESM1-0-LL,1987,11,30,historical,1.454956128,0.522868176,0.5196823488,2.4334507
UKESM1-0-LL,1987,12,31,historical,0.15219730656,0.8482048703999999,0.0602472384,2.2418158
UKESM1-0-LL,1988,1,31,historical,0.6574772160000001,1.380621456,0.26174043648,2.1029413
UKESM1-0-LL,1988,2,29,historical,2.119202784,2.0277281664,0.7791454368,2.134678
UKESM1-0-LL,1988,3,31,historical,3.373227936,2.403153792,1.2846911904,2.2809224
UKESM1-0-LL,1988,4,30,historical,6.255451583999999,2.701943136,2.2008820608,2.5615768
UKESM1-0-LL,1988,5,31,historical,8.8512044544,3.3769926432,3.4578800640000003,2.8315897
UKESM1-0-LL,1988,6,30,historical,8.1475315776,1.674420768,3.8603575296,2.9100799999999998
UKESM1-0-LL,1988,7,31,historical,4.4642631168,1.785284928,2.8209971520000003,2.8298774
UKESM1-0-LL,1988,8,31,historical,3.0499461792,1.6343050752,1.5686720928,2.692827
UKESM1-0-LL,1988,9,30,historical,3.160537056,1.459567296,1.448447184,2.5988386
UKESM1-0-LL,1988,10,31,historical,3.2295015360000003,1.4629242816,1.301310144,2.6002285
UKESM1-0-LL,1988,11,30,historical,1.7918251488,1.4893504128000001,0.6476247216,2.5038104
UKESM1-0-LL,1988,12,31,historical,1.0923718752,2.033754912,0.46481719104,2.4036326
UKESM1-0-LL,1989,1,31,historical,0.3963114,1.1230771392,0.14860809504,2.2356496
UKESM1-0-LL,1989,2,28,historical,0.0715589856,1.1282901696,0.023784798528,2.0778165
UKESM1-0-LL,1989,3,31,historical,2.0127745728,1.4431092192,0.7137553248,2.0490515
