model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
CESM2,1995,7,31,historical,5.943825792,0.8692854336000001,2.8072025280000004,2.5618174
CESM2,1995,8,31,historical,2.1168861408,0.6102739324800001,0.9272981088,1.387755
CESM2,1995,9,30,historical,1.7266822272,1.6336958687999998,1.05719472,0.83415824
CESM2,1995,10,31,historical,1.2173212224,1.7675412192,0.7546898304,0.85460275
CESM2,1995,11,30,historical,0.64085449536,1.0658458656,0.41680912608,0.86523676
CESM2,1995,12,31,historical,0.36895864608,0.7160153760000001,0.2893693248,0.8609266
CESM2,1996,1,31,historical,0.3166055424,0.7243476191999999,0.27474146784000003,0.8427384
CESM2,1996,2,29,historical,0.29008604736,0.5258482848,0.21034311552,0.8183218
CESM2,1996,3,31,historical,1.1299056768,1.0879705728,0.50708688768,0.79242414
CESM2,1996,4,30,historical,1.8582375456,1.3224085056000001,0.7640774928,0.82920665
CESM2,1996,5,31,historical,4.6337247072,1.2606689664,1.6217647199999998,1.3220681
CESM2,1996,6,30,historical,8.029572768,0.9438243552,3.3396627455999996,2.4789293
CESM2,1996,7,31,historical,4.734356256,0.59260893408,3.183093504,2.604219
CESM2,1996,8,31,historical,2.8120454208,0.7169168736,0.9572608944000001,1.7656564
CESM2,1996,9,30,historical,1.6569417024,0.8903411136,1.1904967871999999,0.87231994
CESM2,1996,10,31,historical,1.0948644288,1.4216287104,0.6712583616000001,0.884452
CESM2,1996,11,30,historical,0.5562365471999999,1.119477456,0.38722449600000003,0.8881438
CESM2,1996,12,31,historical,0.41542591391999995,0.9389153664,0.3346013664,0.8790965
CESM2,1997,1,31,historical,0.17706658751999999,0.21500600256,0.17222844671999998,0.80681026
CESM2,1997,2,28,historical,0.04189318272,0.59925461472,0.04696762752,0.20574488
CESM2,1997,3,31,historical,1.0864568448,1.1505964896,0.6367851676799999,1.5970942
CESM2,1997,4,30,historical,2.1854065248,1.3500486432,1.2581500608,1.801649
CESM2,1997,5,31,historical,5.237033529600001,1.3654840032,2.4742750752,2.2110739
CESM2,1997,6,30,historical,8.648996832,1.330152192,3.91508208,3.3246508
CESM2,1997,7,31,historical,8.244656063999999,1.2121437888,4.225217472,3.4191391
CESM2,1997,8,31,historical,4.28019552,1.0884899231999998,1.6793409888,2.5402427
CESM2,1997,9,30,historical,1.9664017055999998,1.9009921535999998,1.0935357695999999,1.326674
