# FLUXCOM-X-BASE monthly extraction
# Site       : DK-Sor
# Time period: 2001-01 to 2021-12
# Source     : Nelson et al. (2024), Biogeosciences
#              Data DOI: https://doi.org/10.18160/5NZG-JMJE
# Access     : ICOS Carbon Portal public download (CCBY4 licence)
#              https://data.icos-cp.eu/licence_accept?ids=[...]
#              See ICOS_PIDS dict in this script for per-file PIDs
#
# Column units:
#   year           calendar year
#   month          calendar month (1 = January)
#   GPP_gC_m2_d    gross primary production    gC m-2 d-1
#   NEE_gC_m2_d    net ecosystem exchange      gC m-2 d-1  (negative = uptake)
#   TER_gC_m2_d    total ecosystem respiration gC m-2 d-1  (= GPP - NEE)
#   ET_mm_d        evapotranspiration          mm d-1
#
# Fill values: NaN (FLUXCOM fill values >1e15 or ==-9999 replaced with NaN)
#
year,month,GPP_gC_m2_d,NEE_gC_m2_d,ET_mm_d,TER_gC_m2_d
2002,3,0.5822365880012512,0.31566303968429565,0.027760064229369164,0.26657354831695557
2002,4,1.799391269683838,-0.17439880967140198,0.04464538022875786,1.9737900793552399
2002,5,8.599568367004395,-4.076018810272217,0.08829153329133987,12.675587177276611
2002,6,11.730755805969238,-5.425107002258301,0.12370659410953522,17.15586280822754
2002,7,6.219230651855469,-1.6402000188827515,0.10534971952438354,7.85943067073822
2002,8,3.4605746269226074,0.08084653317928314,0.08450525254011154,3.3797280937433243
2002,9,2.0606913566589355,0.49286389350891113,0.049839772284030914,1.5678274631500244
2002,10,0.8299353718757629,0.6776485443115234,0.023485781624913216,0.1522868275642395
2002,11,0.2641218900680542,0.7261318564414978,0.01030207984149456,-0.4620099663734436
2002,12,0.0806649923324585,0.5854222774505615,0.007317789830267429,-0.504757285118103
2003,1,0.09467186033725739,0.5478615760803223,0.006525194738060236,-0.4531897157430649
2003,2,0.10938961803913116,0.4364525079727173,0.010890775360167027,-0.3270628899335861
2003,3,0.33515459299087524,0.42949727177619934,0.025426384061574936,-0.0943426787853241
2003,4,1.1491609811782837,0.137644425034523,0.048706188797950745,1.0115165561437607
2003,5,8.62054443359375,-4.26423978805542,0.09371694922447205,12.88478422164917
2003,6,11.791763305664062,-5.2793731689453125,0.12447994202375412,17.071136474609375
2003,7,7.340780258178711,-2.182441473007202,0.11253035813570023,9.523221731185913
2003,8,2.979076623916626,0.13847629725933075,0.08000664412975311,2.8406003266572952
2003,9,2.0214221477508545,0.45750439167022705,0.05081113800406456,1.5639177560806274
2003,10,1.0172480344772339,0.429730087518692,0.026063354685902596,0.5875179469585419
2003,11,0.4482187032699585,0.8526087403297424,0.011403853073716164,-0.40439003705978394
2003,12,0.18615686893463135,0.7478439807891846,0.00808859895914793,-0.5616871118545532
2004,1,0.07880041003227234,0.4844052493572235,0.006521495059132576,-0.40560483932495117
2004,2,0.22697784006595612,0.5164005160331726,0.012234251014888287,-0.2894226759672165
2004,3,0.5271538496017456,0.31594520807266235,0.023432809859514236,0.21120864152908325
2004,4,2.450838088989258,-0.6180378794670105,0.056234829127788544,3.0688759684562683
2004,5,8.832006454467773,-4.61522102355957,0.09138648957014084,13.447227478027344
2004,6,10.139774322509766,-4.578728675842285,0.10037435591220856,14.71850299835205
2004,7,6.85577917098999,-2.2616984844207764,0.10330371558666229,9.117477655410767
2004,8,3.5888235569000244,-0.04127589613199234,0.08437778055667877,3.6300994530320168
2004,9,2.2550525665283203,0.3649342954158783,0.05273301526904106,1.890118271112442
2004,10,1.0849941968917847,0.7618999481201172,0.026781953871250153,0.3230942487716675
2004,11,0.44727420806884766,0.7157657146453857,0.01288822665810585,-0.2684915065765381
2004,12,0.20772001147270203,0.7518971562385559,0.007111959159374237,-0.5441771447658539
2005,1,0.21138478815555573,0.6613587141036987,0.010104551911354065,-0.449973925948143
2005,2,0.17367643117904663,0.4448781907558441,0.010712330229580402,-0.2712017595767975
2005,3,0.26369211077690125,0.3615700900554657,0.01774941384792328,-0.09787797927856445
2005,4,1.837846279144287,-0.25738367438316345,0.05447881296277046,2.0952299535274506
2005,5,7.742095947265625,-3.8811848163604736,0.09062895178794861,11.623280763626099
2005,6,11.03116226196289,-5.194937229156494,0.11803755909204483,16.226099491119385
2005,7,8.283843994140625,-2.5941808223724365,0.11368616670370102,10.878024816513062
2005,8,3.1151845455169678,-0.03205590695142746,0.07464421540498734,3.1472404524683952
2005,9,2.2090818881988525,0.5117875933647156,0.049415480345487595,1.697294294834137
2005,10,1.314360499382019,0.7516090869903564,0.03082200326025486,0.5627514123916626
2005,11,0.5784862637519836,0.7958428263664246,0.013750667683780193,-0.21735656261444092
2005,12,0.2047756314277649,0.6615918278694153,0.006777147296816111,-0.4568161964416504
2006,1,0.09709218889474869,0.47931355237960815,0.0058753592893481255,-0.38222136348485947
2006,2,0.25592562556266785,0.4072466492652893,0.009279041551053524,-0.15132102370262146
2006,3,0.4186008870601654,0.19542358815670013,0.014961385168135166,0.22317729890346527
2006,4,2.197319984436035,-0.6832360625267029,0.047582924365997314,2.880556046962738
2006,5,6.69856071472168,-3.16882586479187,0.0873645693063736,9.86738657951355
2006,6,10.981934547424316,-5.168379783630371,0.12293355911970139,16.150314331054688
2006,7,8.034133911132812,-2.2563576698303223,0.13602684438228607,10.290491580963135
2006,8,2.9803576469421387,0.24509361386299133,0.0756833627820015,2.7352640330791473
2006,9,2.82829213142395,0.4864104688167572,0.05768526345491409,2.341881662607193
2006,10,1.6919301748275757,1.0285073518753052,0.030309494584798813,0.6634228229522705
2006,11,0.7552434206008911,0.9934048652648926,0.015322187915444374,-0.23816144466400146
2006,12,0.3779192566871643,1.0051592588424683,0.011427154764533043,-0.627240002155304
2007,1,0.3111010193824768,0.7919397950172424,0.011231387965381145,-0.4808387756347656
2007,2,0.47253796458244324,0.39020460844039917,0.012535912916064262,0.08233335614204407
2007,3,1.2530007362365723,0.08023384213447571,0.03335092216730118,1.1727668941020966
2007,4,3.6356329917907715,-1.339623212814331,0.06473485380411148,4.9752562046051025
2007,5,8.697823524475098,-4.161059379577637,0.08854644745588303,12.858882904052734
2007,6,10.463247299194336,-4.1855597496032715,0.11564306914806366,14.648807048797607
2007,7,5.628355026245117,-1.3894708156585693,0.1019463986158371,7.0178258419036865
2007,8,3.489537239074707,-0.02881927415728569,0.07859738171100616,3.5183565132319927
2007,9,2.2981760501861572,0.34604474902153015,0.05026784539222717,1.952131301164627
2007,10,1.0715734958648682,0.6286458969116211,0.02719927951693535,0.44292759895324707
2007,11,0.4622819423675537,0.6678262948989868,0.013801171444356441,-0.2055443525314331
2007,12,0.17268683016300201,0.745374321937561,0.007756227161735296,-0.572687491774559
